Protocol,Domain,Path,Having_IP,URL_Length,Having_@_symbol,Redirection_//_symbol,Prefix_suffix_separation,Sub_domains,tiny_url,web_traffic,domain_registration_length,dns_record,statistical_report,age_domain,http_tokens,label
https,netw0rk0luti0ns.firebaseapp.com,/,0,0,0,0,0,0,0,1,1,1,0,1,0,1
https,recoverphrase135.web.app,/,0,0,0,0,0,0,0,1,1,0,0,0,0,1
https,t.co,/8MpTsau4Zq,0,0,0,0,0,0,1,0,1,0,0,0,0,1
https,spk-kundenbindung2022.com,/BGTO2NBSKS,0,0,0,0,1,0,0,1,1,0,1,0,0,1
https,backend.bhiflyk69875.xyz,/,0,0,0,0,0,0,0,1,2,0,0,2,0,1
http,defikingdoms.sameeahmadkhan.com,/,0,0,0,0,0,0,0,1,2,0,0,2,0,1
https,criticalcarevizag.com,/css/hjadsk/wkqelj/,0,0,0,0,0,0,0,1,2,0,0,2,0,1
https,connect-auoneo-jp.ubmsgrh.cn,/,0,0,0,0,1,0,0,1,1,0,0,0,0,1
http,www.unisonsouthayr.org.uk,/index.html,0,0,0,0,0,1,0,1,1,0,0,0,0,1
http,clamffgratis2022.duckdns.org,/,0,0,0,0,0,0,0,1,1,0,0,1,0,1
http,xj4og.mjt.lu,/lnk/ANAAAImW9ecAAAAAAAAAALqcdmwAAYCsRpIAAAAAABUnawBfvNwN9EXQIrkxR0e0MjhnyvraYgAU8Vk/1/0Chy5lWD4N1IkqHF1LqV_g/aHR0cHM6Ly9iaXQubHkvM280Nzh1VA,0,1,0,0,0,0,0,0,1,0,0,1,0,1
https,docs.google.com,/forms/d/e/1FAIpQLSfKSiRdEJKit-TdEiWRNkF00YGSQDSqth0hMwYdIQdik10tnA/viewform,0,1,0,0,0,0,0,0,2,0,0,0,0,1
http,site9607677.92.webydo.com,/,0,0,0,0,0,2,0,2,2,0,0,2,0,1
https,connecti-auonepay.5tf7wed7.cn,/,0,0,0,0,1,0,0,1,1,0,0,0,0,1
https,connecti-auonepay-jp.syayckf.cn,/,0,0,0,0,1,0,0,1,1,0,0,0,0,1
https,hacof.com,/type/user,0,1,0,0,0,0,0,1,1,0,0,0,0,1
https,attnewverification.weebly.com,/,0,0,0,0,0,0,0,1,1,0,0,0,0,1
https,auto-kddl.sfhvsd.icu,/,0,0,0,0,1,0,0,1,1,0,1,1,0,1
http,45.55.167.181,/MegaOfertaDigital/,1,2,1,0,0,1,0,1,1,0,0,1,0,1
https,ppt.cc,/fvlLVx,0,0,0,0,0,0,0,0,2,0,0,2,0,1
https,rolinadd.surveysparrow.com,/s/att/tt-b583c8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
http,monbudri.xyz,/geo/es/usd/registro/5/index.php,0,0,0,0,0,0,0,2,2,0,1,2,0,1
http,sn-28273739.ihostfull.com,/,0,0,0,0,1,0,0,2,1,0,0,2,0,1
https,www.axiesmarketo.cam,/,0,0,0,0,0,0,0,1,1,0,1,1,0,1
https,lnkd.in,/gxbCHxsd,0,0,0,0,0,0,1,0,0,0,0,0,0,1
https,recoverphrase287.web.app,/,0,0,0,0,0,0,0,1,1,0,0,0,0,1
https,auonepay-jp.laughry.shop,/,0,0,0,0,1,0,0,1,1,0,1,0,0,1
http,cutt.ly,/fTLEDCR,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https,bit.ly,/3lgMoQh,0,0,0,0,0,0,1,0,0,0,0,0,0,1
http,yip.su,/29FKW6,0,0,0,0,0,0,0,2,1,0,0,0,0,1
https,freedomtg3656.club,/,0,0,0,0,0,0,0,2,1,0,0,0,0,1
https,www.aumentodelimitenubank.com,/,0,0,0,0,0,0,0,1,1,0,1,0,0,1
http,starsoftheindustry.com,/paper_lantern/digital.technic/redirectURL/dynamic/ssl/hmtl/oauth2/auth17a1.php,0,1,0,0,0,2,0,2,1,0,0,0,0,1
https,storage.cloud.google.com,/1lordman1man3/oscman.html,0,1,1,0,0,1,0,0,2,0,0,0,0,1
https,www.coinbaseacadex.com,/,0,0,0,0,0,0,1,1,1,0,0,2,0,1
https,recoverphrase63.web.app,/,0,0,0,0,0,0,0,1,1,0,0,0,0,1
https,safetypageprotection1.kacangkulitrebus.workers.dev,/,0,2,0,0,0,2,0,1,1,0,1,0,0,1
https,verificationmessage.blob.core.windows.net,/monopoly98/pending.html,0,1,0,0,0,1,0,0,2,0,0,2,0,1
https,connecti-auonepay-jp.ffwjzby.cn,/,0,0,0,0,1,0,0,1,1,0,0,0,0,1
https,br-binance.com,/home/controle.php,0,1,1,0,1,2,0,1,1,0,1,0,0,1
http,aromatic.webenliven.in,/wp-admin/css/trust/sun/cd.php,0,1,0,0,0,2,0,1,1,0,0,0,0,1
https,web-f5547.web.app,/,0,0,0,0,1,0,0,1,1,0,0,0,0,1
https,sites.google.com,/site/protectedinmprovmnt44/,0,0,0,0,0,0,0,0,2,0,0,2,0,1
http,ftx5566.com,,0,0,0,0,0,0,0,1,1,0,1,0,0,1
https,walleteconnect.xyz,/,0,0,0,0,0,0,0,1,2,0,1,2,0,1
https,qsh74pekkv5e8.clickfunnels.com,/optinglub2iy0,0,0,0,0,0,0,0,0,2,0,0,2,0,1
https,webmail-sso8uyg.web.app,/,0,1,1,0,1,1,0,1,1,0,0,0,0,1
https,allegromall.co,/,0,0,0,0,0,0,0,1,0,0,0,0,0,1
https,markte-auone-jp.credhn.cn,/,0,0,0,0,1,0,0,1,1,0,0,0,0,1
https,auonepay-jp.sudisom.shop,/,0,0,0,0,1,0,0,1,1,0,1,0,0,1
https,sunge-ode.firebaseapp.com,/,0,0,0,0,1,0,0,1,1,1,0,1,0,1
https,storage.cloud.google.com,/logonservices8g7gs65gs9bs66vds7bd9nd/index.html,0,1,0,0,0,1,0,0,2,0,0,2,0,1
https,spk-de09.com,/de/home/login-online-banking.html,0,2,0,0,1,0,0,1,1,0,0,0,0,1
http,177.10.203.96,/,1,0,0,0,0,2,0,1,1,0,0,1,0,1
https,h5.dwedw973.top,/,0,0,0,0,0,0,0,1,1,0,0,0,0,1
https,shopee-cny888.blogspot.com,/,0,0,0,0,1,0,1,1,1,1,0,1,0,1
https,linktr.ee,/sbccglob,0,0,0,0,0,0,0,0,1,0,0,0,0,1
https,seul.unilurio.ac.mz,/logintestegoogle.zul,0,1,0,0,0,1,0,2,1,0,0,1,0,1
https,marketplace.axeinfiniity.com,/,0,0,0,0,0,0,0,1,1,0,0,0,0,1
https,recoverphrase288.web.app,/,0,0,0,0,0,0,0,1,1,0,0,0,0,1
https,linkr.bio,/8nyk33,0,0,0,0,0,0,0,0,1,0,0,1,0,1
https,w32ykk.firebaseapp.com,/,0,0,0,0,0,0,0,1,1,1,0,1,0,1
https,cusstomerservicee.blogspot.com,/,0,0,0,0,0,0,1,1,1,1,0,1,0,1
https,sites.google.com,/view/verifmail03/,0,0,0,0,0,0,0,0,2,0,0,2,0,1
https,boldd.martobang.workers.dev,/,0,0,0,0,0,2,0,1,1,0,0,0,0,1
https,recoverphrase312.firebaseapp.com,/,0,0,0,0,0,0,0,1,1,1,0,1,0,1
https,www.google.com,/url,0,1,0,0,0,2,0,2,2,0,0,2,0,1
https,m.fancy-bush-cf01.marhabitas.workers.dev,/,0,0,0,0,1,1,0,1,1,0,0,0,0,1
https,theeverythingspot.com,/direct/access/T83256674,0,0,0,0,0,0,1,1,1,0,0,0,0,1
https,recoverphrase147.web.app,/,0,0,0,0,0,0,0,1,1,0,0,0,0,1
https,recoverphrase464.web.app,/,0,0,0,0,0,0,0,1,1,0,0,0,0,1
https,dgfbcv.bfqpdmm.cn,,0,0,0,0,0,0,0,1,1,0,0,0,0,1
https,h5.pionexodkk.com,/,0,0,0,0,0,0,0,1,2,0,0,0,0,1
http,w2.deraya.org,/login-option.php,0,1,0,0,0,2,0,1,2,0,0,2,0,1
https,firebasestorage.googleapis.com,/v0/b/rei-rezuio-rexire-565.appspot.com/o/%40%40%40indexv-vb-vau-ry-8%252Fbv-yu-er-8F%25252525%2525252F%25252525%2525252F%25252525%2525252F%25252525%2525252F%25252525%20-%20Copy.html,0,1,1,0,0,1,1,0,1,1,0,1,0,1
https,k3ja6d.webwave.dev,/,0,0,0,0,0,0,0,2,1,0,0,0,0,1
https,forms.gle,/sMUfGmYhduCkBQ6KA,0,0,0,0,0,0,0,0,1,0,0,1,0,1
http,albel.intnet.mu,/File/file_doc.php,0,1,0,0,0,2,0,2,0,0,0,0,0,1
https,wires-business-starter.webflow.io,/,0,0,0,0,1,0,0,0,0,0,0,0,0,1
https,info.dnb.no,,0,0,0,0,0,0,0,0,1,0,0,1,0,1
https,i.violationspage.validationspege.workers.dev,,0,0,0,0,0,1,0,1,1,0,0,0,0,1
https,www1.mstacsurueccs.icu,,0,0,0,0,0,0,0,1,1,0,1,0,0,1
